         8472894 function calls (8457698 primitive calls) in 465.529 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:102(release)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
      218    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:146(__enter__)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:153(__exit__)
      255    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
    253/2    0.000    0.000    0.233    0.116 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
     2400    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:218(_requires_builtin_wrapper)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(__exit__)
      800    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
      367    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:389(cached)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
    19/15    0.000    0.000    0.030    0.002 <frozen importlib._bootstrap>:419(spec_from_loader)
      203    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
  203/202    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:57(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:612(_load_backward_compatible)
    205/1    0.001    0.000    0.233    0.233 <frozen importlib._bootstrap>:641(_load_unlocked)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(create_module)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:727(exec_module)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:744(is_package)
      255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:77(acquire)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
      625    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
      625    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:838(__exit__)
        7    0.000    0.000    0.030    0.004 <frozen importlib._bootstrap>:852(_find_spec_legacy)
  216/187    0.001    0.000    0.101    0.001 <frozen importlib._bootstrap>:861(_find_spec)
    218/1    0.001    0.000    0.233    0.233 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    218/1    0.002    0.000    0.233    0.233 <frozen importlib._bootstrap>:958(_find_and_load)
  579/396    0.000    0.000    0.088    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
       16    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      528    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      201    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      201    0.000    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      452    0.004    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1359(_get_supported_file_loaders)
      358    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      188    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      179    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      179    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
